step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1627635979_stopped,1627635979_accumulated_waiting_time,1627635979_average_speed,GS_6410351174_stopped,GS_6410351174_accumulated_waiting_time,GS_6410351174_average_speed,GS_cluster_1193913723_1516363358_stopped,GS_cluster_1193913723_1516363358_accumulated_waiting_time,GS_cluster_1193913723_1516363358_average_speed,GS_cluster_1514516813_1637057199_1637057202_1637057203_stopped,GS_cluster_1514516813_1637057199_1637057202_1637057203_accumulated_waiting_time,GS_cluster_1514516813_1637057199_1637057202_1637057203_average_speed,GS_cluster_1637057155_1637057158_1637057169_653486066_stopped,GS_cluster_1637057155_1637057158_1637057169_653486066_accumulated_waiting_time,GS_cluster_1637057155_1637057158_1637057169_653486066_average_speed,GS_cluster_1646271653_21111520_6412799394_6641317282_stopped,GS_cluster_1646271653_21111520_6412799394_6641317282_accumulated_waiting_time,GS_cluster_1646271653_21111520_6412799394_6641317282_average_speed,GS_cluster_1646282857_1646282859_6463215687_6463215688_stopped,GS_cluster_1646282857_1646282859_6463215687_6463215688_accumulated_waiting_time,GS_cluster_1646282857_1646282859_6463215687_6463215688_average_speed,GS_cluster_1646282864_1646282868_6408185435_6408185436_stopped,GS_cluster_1646282864_1646282868_6408185435_6408185436_accumulated_waiting_time,GS_cluster_1646282864_1646282868_6408185435_6408185436_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.626158917046919,0,0.0,1.0,0,0.0,1.0,0,0.0,0.37406628179831375,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,16.980483803801548,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8602943802193621,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,2,0.0,0.0,15.067738975478465,0,0.0,1.0,0,0.0,1.0,0,0.0,0.29403108170088244,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,3,4.0,0.1111111111111111,17.441789736378052,0,0.0,1.0,0,0.0,1.0,1,4.0,0.3616394761167168,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,4.0
25.0,1,9.0,0.20454545454545456,17.25625944593655,0,0.0,1.0,0,0.0,1.0,1,9.0,0.0,0,0.0,1.0,0,0.0,0.5913996787027552,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,9.0
30.0,2,16.0,0.3137254901960784,18.659962194755096,0,0.0,1.0,0,0.0,1.0,1,14.0,0.0,0,0.0,0.30762167680890107,1,2.0,0.3213618796436752,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,16.0
35.0,4,32.0,0.5423728813559322,18.539308493468344,0,0.0,1.0,0,0.0,0.08718171800451105,1,19.0,0.0,1,3.0,0.00026638742849663985,2,10.0,0.006279583128388,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,4,32.0
40.0,4,31.0,0.484375,18.469833831757285,0,0.0,1.0,0,0.0,0.47440066020447524,0,0.0,1.0,1,8.0,0.0,3,23.0,0.1861160665118466,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,4,31.0
45.0,7,52.0,0.7027027027027027,17.193134211443546,0,0.0,1.0,0,0.0,0.6486073538271023,0,0.0,1.0,1,13.0,0.09902926567066365,4,39.0,0.05681690718296716,0,0.0,0.982788062075932,1,0.0,0.0,0,0.0,1.0,6,52.0
50.0,9,85.0,1.0493827160493827,17.73832783089799,0,0.0,1.0,0,0.0,0.02120718665351731,0,0.0,1.0,2,19.0,0.0017018289789841583,6,66.0,2.6603987231094036e-05,0,0.0,0.9676094987367339,0,0.0,1.0,0,0.0,1.0,8,85.0
55.0,11,130.0,1.4772727272727273,17.972175310330492,0,0.0,1.0,1,5.0,0.0,1,0.0,0.0,2,29.0,0.0,6,96.0,0.03342517382659797,0,0.0,0.4506665908186836,0,0.0,1.0,0,0.0,1.0,10,130.0
60.0,13,176.0,1.8144329896907216,17.331908499068835,0,0.0,1.0,1,10.0,0.0,0,0.0,0.33618780827140843,2,39.0,0.0,7,127.0,0.00020573806969682369,0,0.0,1.0,0,0.0,0.9928619304419868,0,0.0,0.9122780514018831,10,176.0
