step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1627635979_stopped,1627635979_accumulated_waiting_time,1627635979_average_speed,GS_6410351174_stopped,GS_6410351174_accumulated_waiting_time,GS_6410351174_average_speed,GS_cluster_1193913723_1516363358_stopped,GS_cluster_1193913723_1516363358_accumulated_waiting_time,GS_cluster_1193913723_1516363358_average_speed,GS_cluster_1514516813_1637057199_1637057202_1637057203_stopped,GS_cluster_1514516813_1637057199_1637057202_1637057203_accumulated_waiting_time,GS_cluster_1514516813_1637057199_1637057202_1637057203_average_speed,GS_cluster_1637057155_1637057158_1637057169_653486066_stopped,GS_cluster_1637057155_1637057158_1637057169_653486066_accumulated_waiting_time,GS_cluster_1637057155_1637057158_1637057169_653486066_average_speed,GS_cluster_1646271653_21111520_6412799394_6641317282_stopped,GS_cluster_1646271653_21111520_6412799394_6641317282_accumulated_waiting_time,GS_cluster_1646271653_21111520_6412799394_6641317282_average_speed,GS_cluster_1646282857_1646282859_6463215687_6463215688_stopped,GS_cluster_1646282857_1646282859_6463215687_6463215688_accumulated_waiting_time,GS_cluster_1646282857_1646282859_6463215687_6463215688_average_speed,GS_cluster_1646282864_1646282868_6408185435_6408185436_stopped,GS_cluster_1646282864_1646282868_6408185435_6408185436_accumulated_waiting_time,GS_cluster_1646282864_1646282868_6408185435_6408185436_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.288924854237344,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3110709350350198,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,17.1192050860513,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7121895478460091,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,2,0.0,0.0,15.048965813962335,0,0.0,1.0,0,0.0,1.0,0,0.0,0.2834987998336027,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,3,3.0,0.08333333333333333,17.510562500844525,0,0.0,1.0,0,0.0,1.0,1,3.0,0.3383375490976205,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,3.0
25.0,1,8.0,0.18181818181818182,17.388445275203,0,0.0,1.0,0,0.0,1.0,1,8.0,0.0,0,0.0,1.0,0,0.0,0.522694790646189,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,8.0
30.0,2,14.0,0.27450980392156865,18.879803641948584,0,0.0,1.0,0,0.0,1.0,1,13.0,0.0,0,0.0,0.01940670856501164,1,1.0,0.14945022891624246,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,14.0
35.0,4,32.0,0.5423728813559322,19.20423655019646,0,0.0,1.0,0,0.0,0.05936887471415402,1,18.0,0.0,1,5.0,0.0,2,9.0,0.18672807912703457,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,4,32.0
40.0,5,53.0,0.828125,18.661842170263405,0,0.0,1.0,0,0.0,0.37510612901807966,1,23.0,0.0,1,10.0,0.0,3,20.0,0.04012638672439509,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,5,53.0
45.0,8,81.0,1.0945945945945945,17.54244283012376,0,0.0,1.0,0,0.0,0.6480987834085211,1,28.0,0.0,1,15.0,0.10011710839138697,4,38.0,0.19553479305459012,0,0.0,0.9885630708147192,1,0.0,0.0,0,0.0,1.0,7,81.0
50.0,10,116.0,1.4320987654320987,18.274895262495935,0,0.0,1.0,0,0.0,0.09025615172045384,1,33.0,0.0,2,22.0,0.0,6,61.0,0.00010891928232159132,0,0.0,0.9833887504448966,0,0.0,1.0,0,0.0,1.0,9,116.0
55.0,12,166.0,1.8863636363636365,18.402313481795986,0,0.0,1.0,1,5.0,9.549173106365118e-06,2,38.0,0.0,2,32.0,0.0,6,91.0,0.047439554405664726,0,0.0,0.6407259322665663,0,0.0,1.0,0,0.0,1.0,11,166.0
60.0,13,218.0,2.2708333333333335,17.782249525649206,0,0.0,1.0,1,10.0,0.0,1,43.0,0.16770656433235914,2,42.0,0.3292704373155938,7,123.0,0.09516622232163593,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,11,218.0
65.0,12,273.0,2.6,17.420866109200265,0,0.0,0.971888501895624,1,15.0,0.0,1,48.0,0.3329501297894318,2,52.0,0.0,7,158.0,0.11278476239477911,0,0.0,0.8944270426063764,0,0.0,1.0,0,0.0,0.31922393838561375,11,273.0
70.0,15,339.0,2.9478260869565216,16.734709661879023,0,0.0,1.0,1,20.0,0.35614083176186145,1,53.0,0.007527242598275192,2,62.0,0.24920361065654661,8,198.0,0.04292918719156959,0,0.0,0.5507076461151011,0,0.0,1.0,2,6.0,0.00011678712256205075,14,339.0
75.0,18,415.0,3.346774193548387,17.80303015312098,0,0.0,1.0,1,25.0,0.5080287204493007,2,63.0,0.0,3,73.0,8.459120519490618e-05,8,238.0,0.052646467055671206,0,0.0,0.9611186450381997,0,0.0,1.0,2,16.0,0.0,16,415.0
80.0,22,503.0,3.781954887218045,17.815755329878783,0,0.0,1.0,2,32.0,0.16086927978749752,2,73.0,0.07372161503885795,3,88.0,0.004325523704682121,10,284.0,3.60993043850867e-05,0,0.0,0.6017477974193713,0,0.0,1.0,2,26.0,0.0,19,503.0
85.0,20,472.0,3.3714285714285714,17.729769045579378,0,0.0,1.0,0,5.0,0.09278715603414568,3,85.0,0.0010607499686315926,1,14.0,0.04303992759606527,10,334.0,0.0,1,4.0,0.6509131838953574,0,0.0,0.05375814987826977,2,36.0,0.0,17,478.0
90.0,19,553.0,3.662251655629139,17.750859273291596,0,0.0,1.0,0,0.0,1.0,3,100.0,0.16281428805656328,1,16.0,0.19888781336914252,10,384.0,0.04343947372995997,0,0.0,0.8947902872554809,0,0.0,0.37932979791103977,2,46.0,0.0,16,546.0
95.0,20,628.0,3.9746835443037973,17.99548494422701,0,0.0,1.0,0,0.0,1.0,3,115.0,0.0,2,22.0,0.08945357444438395,11,435.0,0.00028388361644824154,0,0.0,0.8922498606846165,0,0.0,0.568573447041773,2,56.0,0.0,18,628.0
100.0,22,728.0,4.412121212121212,18.764744482452226,0,0.0,1.0,0,0.0,1.0,3,130.0,0.0,4,39.0,1.692512656923697e-05,11,490.0,0.0,0,0.0,0.8091252849275148,1,3.0,5.3346668455741504e-05,2,66.0,0.0,21,728.0
105.0,22,835.0,4.7988505747126435,18.812928324536625,0,0.0,1.0,0,0.0,1.0,3,146.0,0.3386442786404219,4,59.0,0.0,11,545.0,0.0,1,2.0,0.6380630143082778,1,8.0,0.0,2,76.0,0.0,22,836.0
110.0,22,789.0,4.359116022099448,18.021619231999082,0,0.0,0.9592464630354535,0,0.0,1.0,0,2.0,0.2462906494340309,4,79.0,0.0177935142032184,11,600.0,0.05632434116073295,3,11.0,0.43408483270196746,1,13.0,0.05869338542390741,2,86.0,0.16981837174528805,21,791.0
115.0,26,867.0,4.587301587301587,17.291568310288262,0,0.0,1.0,0,0.0,1.0,1,1.0,9.53554113695097e-05,2,76.0,0.13856728117257464,11,655.0,0.006012779861269584,5,29.0,0.337015319165744,2,23.0,0.0,3,99.0,0.10212794996281069,24,883.0
120.0,24,945.0,4.7727272727272725,17.06857318087996,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,4,78.0,0.13424618814561506,12,713.0,1.1532337968775522e-06,1,27.0,0.4376882192315596,2,33.0,0.0,4,115.0,0.1273967667808208,23,966.0
125.0,20,957.0,4.557142857142857,17.387845603230534,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6147268894952663,2,80.0,0.011624684004573895,12,773.0,0.0,0,17.0,0.42106772862473013,2,43.0,0.0981320007168265,2,77.0,0.1765950993260016,18,990.0
130.0,23,1058.0,4.831050228310502,18.3737652958757,0,0.0,1.0,0,0.0,0.47816475371793393,1,4.0,0.5463348019541769,3,95.0,0.1695816287322595,13,835.0,4.3081567013958047e-05,0,1.0,0.29156312037993054,2,53.0,0.0,2,71.0,0.1188562446144298,21,1059.0
