step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1627635979_stopped,1627635979_accumulated_waiting_time,1627635979_average_speed,GS_6410351174_stopped,GS_6410351174_accumulated_waiting_time,GS_6410351174_average_speed,GS_cluster_1193913723_1516363358_stopped,GS_cluster_1193913723_1516363358_accumulated_waiting_time,GS_cluster_1193913723_1516363358_average_speed,GS_cluster_1514516813_1637057199_1637057202_1637057203_stopped,GS_cluster_1514516813_1637057199_1637057202_1637057203_accumulated_waiting_time,GS_cluster_1514516813_1637057199_1637057202_1637057203_average_speed,GS_cluster_1637057155_1637057158_1637057169_653486066_stopped,GS_cluster_1637057155_1637057158_1637057169_653486066_accumulated_waiting_time,GS_cluster_1637057155_1637057158_1637057169_653486066_average_speed,GS_cluster_1646271653_21111520_6412799394_6641317282_stopped,GS_cluster_1646271653_21111520_6412799394_6641317282_accumulated_waiting_time,GS_cluster_1646271653_21111520_6412799394_6641317282_average_speed,GS_cluster_1646282857_1646282859_6463215687_6463215688_stopped,GS_cluster_1646282857_1646282859_6463215687_6463215688_accumulated_waiting_time,GS_cluster_1646282857_1646282859_6463215687_6463215688_average_speed,GS_cluster_1646282864_1646282868_6408185435_6408185436_stopped,GS_cluster_1646282864_1646282868_6408185435_6408185436_accumulated_waiting_time,GS_cluster_1646282864_1646282868_6408185435_6408185436_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.876611746473376,0,0.0,1.0,0,0.0,1.0,0,0.0,0.23366155597718877,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,16.125662211318616,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5365219590229195,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,2,0.0,0.0,14.181886682165121,0,0.0,1.0,0,0.0,1.0,0,0.0,0.25642624181052465,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,3,4.0,0.1111111111111111,16.369631178153792,0,0.0,1.0,0,0.0,1.0,1,4.0,0.30114704021128574,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,4.0
25.0,1,9.0,0.20454545454545456,16.58301504882061,0,0.0,1.0,0,0.0,1.0,1,9.0,0.0,0,0.0,0.7679638870830084,0,0.0,0.567700019644477,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,9.0
30.0,2,16.0,0.3076923076923077,18.672575968029044,0,0.0,1.0,0,0.0,1.0,1,14.0,0.0,0,0.0,0.02523257347043168,1,2.0,0.00013275875249120568,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,16.0
35.0,3,31.0,0.5254237288135594,19.184417082958213,0,0.0,1.0,0,0.0,0.05306498372943882,1,19.0,0.0,1,5.0,0.0,1,7.0,0.3702336208593819,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,31.0
40.0,5,51.0,0.796875,18.342852198650995,0,0.0,1.0,0,0.0,0.3545790832006405,1,24.0,0.0,1,10.0,0.0,3,17.0,0.09218132487882197,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,5,51.0
45.0,8,77.0,1.0405405405405406,17.8734461555209,0,0.0,1.0,0,0.0,0.6204219144554648,1,29.0,0.0,1,15.0,0.07522695777114288,4,33.0,0.00028488019759485313,0,0.0,0.9694080901922233,1,0.0,0.0,0,0.0,1.0,7,77.0
50.0,8,108.0,1.3333333333333333,18.404106909982687,0,0.0,1.0,1,1.0,1.2109989831766331e-05,1,34.0,0.0,1,20.0,0.011503050513156128,4,53.0,0.12827939451892978,0,0.0,0.9779392592048843,0,0.0,1.0,0,0.0,1.0,7,108.0
55.0,11,150.0,1.7045454545454546,18.3031611678453,0,0.0,1.0,1,6.0,0.0,2,39.0,0.0,2,30.0,3.938399136774377e-06,5,75.0,0.04680773153767589,0,0.0,0.4922040297972345,0,0.0,0.9800525571101262,0,0.0,1.0,10,150.0
60.0,13,201.0,2.1157894736842104,17.5045008074538,0,0.0,1.0,1,11.0,0.0,1,44.0,0.19185731435144895,2,40.0,0.0,7,106.0,6.486753148841192e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,11,201.0
65.0,12,256.0,2.4615384615384617,16.965971945409983,0,0.0,0.8638647880271317,1,16.0,0.0,1,49.0,0.43014141000030603,2,50.0,0.35975255812362694,7,141.0,0.0019258820752695751,0,0.0,0.9720469030703589,0,0.0,1.0,0,0.0,0.5340862657916985,11,256.0
70.0,16,319.0,2.773913043478261,16.222389686312944,0,0.0,1.0,1,21.0,0.5881646332267061,2,56.0,0.00015393691950097498,2,60.0,0.0041711818264965625,8,180.0,0.03846476825128795,0,0.0,0.56744894484336,0,0.0,1.0,1,1.0,0.23518308775553923,14,318.0
