step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_7621976415_7621976416_7621976420_7688405358_stopped,cluster_7621976415_7621976416_7621976420_7688405358_accumulated_waiting_time,cluster_7621976415_7621976416_7621976420_7688405358_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,14.243258263167897,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,15.347382667795452,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,10.73582393479168,0,0.0,1.0,0,0.0
20.0,1,0.0,0.0,10.998105259071583,0,0.0,1.0,0,0.0
25.0,1,0.0,0.0,12.849818986232151,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,14.877687555100087,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,16.192150415135693,0,0.0,1.0,0,0.0
40.0,0,0.0,0.0,15.877657019086913,0,0.0,1.0,0,0.0
45.0,0,0.0,0.0,15.631110213078896,0,0.0,0.7967963713997304,0,0.0
50.0,1,3.0,0.11538461538461539,16.320220944512453,1,3.0,0.00013049240974791508,1,3.0
55.0,1,0.0,0.0,14.504728944945585,0,0.0,1.0,0,0.0
60.0,0,0.0,0.0,13.996004878412458,0,0.0,1.0,0,0.0
65.0,0,0.0,0.0,13.809234514472026,0,0.0,1.0,0,0.0
70.0,0,0.0,0.0,14.047606507760458,0,0.0,1.0,0,0.0
75.0,0,0.0,0.0,11.809296598628485,0,0.0,1.0,0,0.0
80.0,0,0.0,0.0,12.427715847974744,0,0.0,1.0,0,0.0
85.0,0,0.0,0.0,12.1670603657492,0,0.0,1.0,0,0.0
90.0,0,0.0,0.0,12.165026634423583,0,0.0,0.4623942754326991,0,0.0
95.0,1,2.0,0.05405405405405406,11.504158896355403,1,2.0,0.3577525289871755,1,2.0
100.0,0,0.0,0.0,10.991130847430117,0,0.0,1.0,0,0.0
105.0,1,0.0,0.0,11.912301669612365,0,0.0,0.849218560601828,0,0.0
110.0,0,0.0,0.0,11.581582908212,0,0.0,0.38508422728057495,0,0.0
115.0,2,7.0,0.15217391304347827,10.460078712434374,2,8.0,0.002725162597793944,2,8.0
120.0,4,23.0,0.48936170212765956,10.320597862471985,4,24.0,0.0005768574148189132,4,24.0
125.0,1,6.0,0.125,11.925457367657268,1,27.0,0.0841593280204763,1,27.0
130.0,0,0.0,0.0,12.642395593790056,0,6.0,0.46424453647768477,0,6.0
135.0,1,1.0,0.02040816326530612,11.607350566889007,1,1.0,0.1756006140570208,1,1.0
140.0,4,12.0,0.23076923076923078,11.723648596215808,3,12.0,0.11558490853179608,3,12.0
