step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,7688405358_stopped,7688405358_accumulated_waiting_time,7688405358_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,7.122283717764329,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,8.251798303295447,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.428807981752142,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,15.9887014278473,0,0.0,1.0,0,0.0
25.0,1,0.0,0.0,11.708636251825432,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,13.33007332159794,0,0.0,1.0,0,0.0
35.0,1,0.0,0.0,13.782743745546119,0,0.0,1.0,0,0.0
40.0,0,0.0,0.0,13.278627563987314,0,0.0,1.0,0,0.0
45.0,0,0.0,0.0,12.38737640742946,0,0.0,1.0,0,0.0
50.0,0,0.0,0.0,13.524608067361285,0,0.0,0.96841831198406,0,0.0
55.0,2,0.0,0.0,13.114926816604202,0,0.0,1.0,0,0.0
60.0,0,0.0,0.0,13.493642477640911,0,0.0,1.0,0,0.0
65.0,0,0.0,0.0,12.94181446431607,0,0.0,1.0,0,0.0
70.0,0,0.0,0.0,13.822404693506108,0,0.0,1.0,0,0.0
75.0,2,3.0,0.057692307692307696,11.973767676791253,0,0.0,0.5575723276513264,0,0.0
80.0,1,0.0,0.0,12.394504600773855,0,0.0,0.6770055383708631,0,0.0
85.0,2,2.0,0.03333333333333333,13.488248825010446,1,2.0,0.00030941364191719006,1,2.0
90.0,2,7.0,0.1111111111111111,13.575293233149075,1,7.0,0.0,1,7.0
95.0,2,14.0,0.21212121212121213,13.626067830295494,1,12.0,0.47968378206656365,1,12.0
100.0,1,17.0,0.25,14.755143680576696,1,17.0,0.39231758219500923,1,17.0
105.0,2,24.0,0.34285714285714286,13.705968043109388,2,26.0,0.15657597502171125,2,26.0
110.0,4,43.0,0.589041095890411,13.696742395578225,3,38.0,1.582260351844424e-06,3,38.0
