step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_7621976415_7621976416_7621976420_7688405358_stopped,cluster_7621976415_7621976416_7621976420_7688405358_accumulated_waiting_time,cluster_7621976415_7621976416_7621976420_7688405358_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,14.4258263770017,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,15.397290717232023,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.537965506255107,0,0.0,1.0,0,0.0
20.0,1,0.0,0.0,11.78313989848069,0,0.0,1.0,0,0.0
25.0,1,0.0,0.0,13.285002745775445,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,15.70600394578894,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,16.751328713397207,0,0.0,1.0,0,0.0
40.0,0,0.0,0.0,15.17291418491242,0,0.0,0.09355222400551111,0,0.0
45.0,0,0.0,0.0,15.141224128472283,0,0.0,0.2144849945991402,0,0.0
50.0,1,5.0,0.18518518518518517,15.870138222396138,1,5.0,6.534693739115301e-06,1,5.0
55.0,2,10.0,0.35714285714285715,15.210331514806823,1,10.0,0.0,1,10.0
60.0,1,15.0,0.5172413793103449,14.32035048543241,1,15.0,0.20248373573749742,1,15.0
65.0,3,24.0,0.8275862068965517,12.917991229779146,2,23.0,0.00012631551158812408,2,23.0
70.0,2,33.0,1.064516129032258,12.571301709808267,2,33.0,0.0,2,33.0
75.0,2,43.0,1.303030303030303,10.57285330794744,2,43.0,0.0,2,43.0
80.0,2,53.0,1.5142857142857142,12.248928500320424,2,53.0,0.0,2,53.0
85.0,0,0.0,0.0,12.59926021117002,0,21.0,0.1332806907138289,0,21.0
90.0,1,3.0,0.08108108108108109,13.971887770610115,0,0.0,0.34402770377109254,0,0.0
95.0,1,8.0,0.2222222222222222,12.285610354498576,0,0.0,0.4197162362784102,0,0.0
100.0,2,5.0,0.13513513513513514,12.189027734009738,2,5.0,0.24227593369985742,2,5.0
105.0,0,0.0,0.0,12.301909609437429,0,4.0,0.12787301449625257,0,4.0
