step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_7621976415_7621976416_7621976420_7688405358_stopped,cluster_7621976415_7621976416_7621976420_7688405358_accumulated_waiting_time,cluster_7621976415_7621976416_7621976420_7688405358_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,14.73295293352165,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,15.432594154470536,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,10.805238199331974,0,0.0,1.0,0,0.0
20.0,1,0.0,0.0,11.48544004723404,0,0.0,1.0,0,0.0
25.0,1,0.0,0.0,12.998663870141646,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,14.930784247964041,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,15.854244711223572,0,0.0,1.0,0,0.0
40.0,0,0.0,0.0,15.600187814874351,0,0.0,1.0,0,0.0
45.0,1,1.0,0.043478260869565216,14.833470615686458,1,1.0,0.003266384236885771,1,1.0
50.0,1,6.0,0.2222222222222222,14.825359045481418,1,6.0,5.949569676177745e-06,1,6.0
55.0,3,14.0,0.5,14.23906026623458,1,11.0,0.0,1,11.0
60.0,1,16.0,0.5714285714285714,14.623263909596664,1,16.0,0.0,1,16.0
65.0,1,21.0,0.7,14.48609523027747,1,21.0,0.0,1,21.0
70.0,1,26.0,0.8125,11.705567930089963,1,26.0,0.020473838834697635,1,26.0
75.0,2,36.0,1.125,11.505454097265586,2,36.0,0.0,2,36.0
80.0,2,46.0,1.3529411764705883,12.350868969447905,2,46.0,0.17104587683287484,2,46.0
85.0,4,62.0,1.7222222222222223,12.24503477155593,3,57.0,0.00017044450576350327,3,57.0
90.0,5,82.0,2.2162162162162162,11.52192961188405,3,72.0,0.24256611814984866,3,72.0
95.0,3,87.0,2.3513513513513513,11.435257451265734,3,90.0,0.13345185783600888,3,90.0
