step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,7688405358_stopped,7688405358_accumulated_waiting_time,7688405358_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,8.212752680244463,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,9.071054379424062,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.811268908987158,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,15.893726193148908,0,0.0,1.0,0,0.0
25.0,1,0.0,0.0,12.23029994107228,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,14.157308905425094,0,0.0,1.0,0,0.0
35.0,1,0.0,0.0,13.47823963413938,0,0.0,1.0,0,0.0
40.0,0,0.0,0.0,13.27263581198009,0,0.0,1.0,0,0.0
45.0,0,0.0,0.0,11.913823477532626,0,0.0,0.5077412197914335,0,0.0
50.0,1,1.0,0.027777777777777776,12.841845003278046,1,1.0,0.0010235922368595995,1,1.0
55.0,2,6.0,0.15,11.763601865381249,1,6.0,0.0,1,6.0
60.0,1,11.0,0.2619047619047619,12.978667910881127,1,11.0,0.0,1,11.0
65.0,1,16.0,0.36363636363636365,12.573061240104614,1,16.0,0.0,1,16.0
70.0,1,21.0,0.44680851063829785,13.213434788122445,1,21.0,0.0,1,21.0
75.0,3,29.0,0.5576923076923077,12.12895609362183,1,26.0,0.0,1,26.0
80.0,2,31.0,0.5636363636363636,13.12265614640767,1,31.0,0.43913731021400054,1,31.0
85.0,3,38.0,0.6333333333333333,12.869876523230987,2,38.0,0.0005180755336766474,2,38.0
90.0,3,48.0,0.7619047619047619,12.885301386817954,2,48.0,0.08214322870604734,2,48.0
95.0,4,62.0,0.9538461538461539,12.319211330032374,3,62.0,0.04812232125542707,3,62.0
100.0,5,83.0,1.2205882352941178,12.904041981439036,4,80.0,0.058828378607541254,4,80.0
105.0,5,104.0,1.4647887323943662,13.451953815069562,5,104.0,3.0604152542137293e-06,5,104.0
110.0,5,129.0,1.72,12.813487302614396,5,129.0,0.0,5,129.0
115.0,9,168.0,2.27027027027027,12.587434742190823,5,154.0,0.0,5,154.0
120.0,11,214.0,2.779220779220779,11.39098128574476,5,179.0,0.0,5,179.0
