step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,cluster_7621976415_7621976416_7621976420_7688405358_stopped,cluster_7621976415_7621976416_7621976420_7688405358_accumulated_waiting_time,cluster_7621976415_7621976416_7621976420_7688405358_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,12.957922552016134,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,16.03445458945372,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.191304835574531,0,0.0,1.0,0,0.0
20.0,1,0.0,0.0,12.630061797912076,0,0.0,1.0,0,0.0
25.0,1,0.0,0.0,13.103351927092454,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,16.40065471372885,0,0.0,1.0,0,0.0
35.0,0,0.0,0.0,16.95004924528633,0,0.0,1.0,0,0.0
40.0,0,0.0,0.0,14.996336147250762,0,0.0,0.15668640851155768,0,0.0
45.0,0,0.0,0.0,15.77078879286035,0,0.0,1.0,0,0.0
50.0,0,0.0,0.0,14.564545391612793,0,0.0,0.043368056792766715,0,0.0
55.0,1,0.0,0.0,15.620425784992232,0,0.0,1.0,0,0.0
60.0,0,0.0,0.0,15.701457742979985,0,0.0,1.0,0,0.0
65.0,0,0.0,0.0,14.262280871671262,0,0.0,1.0,0,0.0
70.0,0,0.0,0.0,13.825712567680666,0,0.0,1.0,0,0.0
75.0,0,0.0,0.0,11.244870934970526,0,0.0,1.0,0,0.0
80.0,0,0.0,0.0,13.381470877211738,0,0.0,1.0,0,0.0
85.0,1,4.0,0.1111111111111111,11.559630287597871,0,0.0,1.0,0,0.0
90.0,1,1.0,0.02857142857142857,12.004418063603847,1,1.0,0.31183247635405076,1,1.0
95.0,1,1.0,0.027777777777777776,10.758445580186423,1,1.0,0.3152129369711082,1,1.0
100.0,1,6.0,0.15789473684210525,12.692586052050695,1,6.0,0.003182401161728132,1,6.0
105.0,1,0.0,0.0,11.67867669063078,0,3.0,0.19221886249341677,0,3.0
110.0,3,3.0,0.06818181818181818,10.938555373072179,1,2.0,0.02712719591244543,1,2.0
115.0,0,0.0,0.0,10.775055349129333,0,2.0,0.07370385402831837,0,2.0
120.0,0,0.0,0.0,11.508089898249224,0,0.0,0.20495462768113826,0,0.0
125.0,0,0.0,0.0,12.808288682285651,0,0.0,0.29297846884224016,0,0.0
130.0,2,7.0,0.14583333333333334,13.078227204437553,2,7.0,4.506224242305113e-05,2,7.0
135.0,0,0.0,0.0,12.190726575409547,0,5.0,0.28196033767252066,0,5.0
140.0,1,0.0,0.0,12.543411467441375,0,2.0,0.3207502550582038,0,2.0
145.0,2,6.0,0.11538461538461539,12.373297116771163,2,6.0,0.0016341011280032616,2,6.0
150.0,4,20.0,0.38461538461538464,11.912544807796289,3,18.0,0.203755520205916,3,18.0
155.0,1,1.0,0.019230769230769232,10.772600850881314,0,15.0,0.09042207563395721,0,15.0
160.0,4,18.0,0.33962264150943394,10.872802610196379,3,12.0,0.14828990252866672,3,12.0
165.0,6,34.0,0.6296296296296297,10.680935607847182,4,32.0,0.06341706191393967,4,32.0
170.0,4,18.0,0.32727272727272727,11.214400636675474,1,34.0,0.04496282996663464,1,34.0
175.0,2,7.0,0.125,10.332219953048096,1,22.0,0.1281703734458122,1,22.0
180.0,2,10.0,0.17543859649122806,10.987118640775241,2,16.0,0.11607936206318326,2,16.0
185.0,2,4.0,0.06779661016949153,10.204681776566426,2,13.0,0.07358702456474481,2,13.0
190.0,6,25.0,0.423728813559322,10.808659976991256,4,28.0,0.08150794762543673,4,28.0
195.0,5,48.0,0.8,11.488593292744557,4,48.0,0.06788652017034605,4,48.0
200.0,5,31.0,0.5081967213114754,10.803869372544,3,47.0,0.02840664630824663,3,47.0
205.0,2,15.0,0.24193548387096775,12.130470471841553,2,40.0,0.11395932892284755,2,40.0
210.0,3,30.0,0.4838709677419355,12.949688325704479,3,30.0,0.2752283905992588,3,30.0
215.0,2,2.0,0.03278688524590164,11.700167121005586,0,9.0,0.10432863166374721,0,9.0
220.0,4,14.0,0.22580645161290322,11.59461266131438,3,11.0,0.10496844510279235,3,11.0
225.0,4,30.0,0.4918032786885246,12.158034539077397,4,30.0,3.822532356453745e-06,4,30.0
230.0,1,9.0,0.14285714285714285,12.277109076189777,1,32.0,0.034565235075943855,1,32.0
235.0,0,0.0,0.0,12.216835244807584,0,10.0,0.14902071848766785,0,10.0
240.0,1,2.0,0.03225806451612903,12.41827653886117,1,21.0,0.1540475927439578,1,21.0
245.0,5,17.0,0.288135593220339,12.7670049245493,4,34.0,0.16203237605257287,4,34.0
250.0,6,46.0,0.7796610169491526,12.431500574157413,4,54.0,1.2506575931942263e-06,4,54.0
255.0,4,37.0,0.6491228070175439,11.722958211062231,1,49.0,0.2329948098045623,1,49.0
260.0,7,31.0,0.5535714285714286,11.145196931870146,2,36.0,0.08544203748880404,2,36.0
265.0,5,35.0,0.6140350877192983,11.532187887801891,3,25.0,0.1486399364101918,3,25.0
270.0,5,30.0,0.4918032786885246,12.148500598905242,2,25.0,0.11698898580912455,2,25.0
275.0,3,13.0,0.21666666666666667,11.68652543774789,2,21.0,0.1312909077329828,2,21.0
280.0,4,24.0,0.39344262295081966,10.589414513190077,2,26.0,0.10193679649595536,2,26.0
285.0,2,32.0,0.5333333333333333,11.849378151470427,2,37.0,0.23257075210514988,2,37.0
290.0,1,2.0,0.03508771929824561,12.116302521962627,0,18.0,0.09181829075825902,0,18.0
295.0,3,10.0,0.1724137931034483,13.552751686959553,3,12.0,0.1399265870184659,3,12.0
300.0,4,30.0,0.4918032786885246,12.543724473389604,4,32.0,0.0,4,32.0
305.0,7,54.0,0.9152542372881356,11.493337161987432,4,52.0,0.0015052092210094251,4,52.0
310.0,4,26.0,0.4482758620689655,10.959702987860734,1,49.0,0.189525935073222,1,49.0
315.0,0,0.0,0.0,11.562036063478272,0,23.0,0.16077165604414284,0,23.0
