step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,7688405358_stopped,7688405358_accumulated_waiting_time,7688405358_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0.0,0.0,7.995241018601511,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,8.978648438484347,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.778626974272692,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,14.624247558172167,0,0.0,1.0,0,0.0
25.0,1,0.0,0.0,11.554061196781616,0,0.0,1.0,0,0.0
30.0,0,0.0,0.0,13.682702360401663,0,0.0,1.0,0,0.0
35.0,1,0.0,0.0,14.07427288271959,0,0.0,1.0,0,0.0
40.0,0,0.0,0.0,14.050210298785371,0,0.0,1.0,0,0.0
45.0,1,2.0,0.0625,12.196025393443616,0,0.0,1.0,0,0.0
50.0,0,0.0,0.0,13.648196608175338,0,0.0,1.0,0,0.0
55.0,1,0.0,0.0,12.772656559607269,0,0.0,1.0,0,0.0
60.0,0,0.0,0.0,13.743592295187744,0,0.0,0.9439643397328684,0,0.0
65.0,0,0.0,0.0,12.672776629953757,0,0.0,1.0,0,0.0
70.0,0,0.0,0.0,13.151532725656766,0,0.0,1.0,0,0.0
75.0,1,0.0,0.0,12.544002790040544,0,0.0,0.9726468159494879,0,0.0
80.0,1,0.0,0.0,12.797747858224445,0,0.0,0.05200676436608586,0,0.0
85.0,2,5.0,0.08333333333333333,13.239379093431971,1,5.0,0.0,1,5.0
90.0,2,10.0,0.15873015873015872,13.664212023566181,1,10.0,0.0,1,10.0
95.0,3,16.0,0.24242424242424243,13.724185465331608,1,15.0,0.4761408766790532,1,15.0
100.0,2,26.0,0.37681159420289856,14.58623597802789,1,20.0,0.3501306134307804,1,20.0
105.0,2,27.0,0.38028169014084506,13.331566875370454,2,30.0,0.17109452267803613,2,30.0
110.0,6,54.0,0.7297297297297297,13.13412361146708,4,47.0,7.4678063211557484e-06,4,47.0
115.0,6,84.0,1.135135135135135,12.456564678912864,4,67.0,0.0,4,67.0
120.0,6,90.0,1.1842105263157894,12.078949303661416,4,87.0,0.310979248811116,4,87.0
125.0,4,107.0,1.3896103896103895,13.149785388649757,4,107.0,0.04746074252274409,4,107.0
130.0,5,127.0,1.6075949367088607,13.175149600641358,4,127.0,0.0,4,127.0
135.0,5,147.0,1.8148148148148149,13.400703670521313,4,158.0,0.07349621143808212,4,158.0
140.0,4,167.0,1.941860465116279,13.956681342338161,4,171.0,0.12125318058011532,4,171.0
145.0,6,188.0,2.160919540229885,13.657779425715125,4,187.0,0.0,4,187.0
150.0,6,210.0,2.3076923076923075,13.654263843409181,4,207.0,0.16741831676015706,4,207.0
155.0,5,229.0,2.489130434782609,13.825496484515169,5,229.0,0.0002829718654556128,5,229.0
160.0,5,254.0,2.702127659574468,13.761658837750689,5,254.0,0.019527020880372233,5,254.0
165.0,6,283.0,2.9479166666666665,14.01319323825146,6,283.0,0.0,6,283.0
170.0,8,315.0,3.1818181818181817,12.998485260442333,6,313.0,0.0,6,313.0
175.0,8,355.0,3.6979166666666665,12.047220988003502,6,343.0,0.001209616541364851,6,343.0
180.0,5,29.0,0.29896907216494845,12.18877981656026,1,195.0,0.15351518074866408,1,195.0
185.0,1,2.0,0.021052631578947368,13.96363715535031,1,30.0,0.19715833920855397,1,30.0
190.0,4,9.0,0.09473684210526316,14.127034412414835,4,42.0,0.0940693294714621,4,42.0
195.0,7,40.0,0.43010752688172044,13.626058408847918,7,79.0,0.07260993675591053,7,79.0
200.0,2,2.0,0.021052631578947368,13.322100087556237,2,55.0,0.06739892817043189,2,55.0
205.0,3,9.0,0.09473684210526316,14.162019357205569,2,17.0,0.13835224910320676,2,17.0
210.0,4,10.0,0.10416666666666667,12.710748923270273,2,19.0,0.09391148581705629,2,19.0
215.0,5,22.0,0.2222222222222222,12.740641342703551,2,19.0,0.10869301296755865,2,19.0
220.0,2,28.0,0.29473684210526313,12.490775131611183,2,29.0,0.26675676723675906,2,29.0
225.0,6,46.0,0.46464646464646464,13.015680020491988,4,42.0,0.00034035406329237364,4,42.0
230.0,7,73.0,0.7525773195876289,13.32101440688952,4,62.0,0.19271255090143075,4,62.0
235.0,7,100.0,1.0,12.034740278484314,4,82.0,0.19621262225606442,4,82.0
240.0,7,128.0,1.28,13.380715803596532,4,102.0,0.0,4,102.0
245.0,6,131.0,1.297029702970297,13.842965993578598,4,122.0,0.19462142786866293,4,122.0
250.0,7,149.0,1.5204081632653061,13.161281330817072,5,146.0,0.2307041270327976,5,146.0
255.0,7,172.0,1.7373737373737375,13.346198630706393,5,175.0,0.17314184093227733,5,175.0
260.0,4,59.0,0.6082474226804123,13.451527151781361,3,92.0,0.020397722958943324,3,92.0
265.0,2,19.0,0.1958762886597938,13.186378716367274,1,28.0,0.35655508827507737,1,28.0
270.0,2,19.0,0.2,13.807526827466926,1,19.0,0.07753635620199661,1,19.0
275.0,7,41.0,0.44565217391304346,13.829941159574618,5,36.0,0.14872492425200345,5,36.0
280.0,8,42.0,0.45652173913043476,11.825448965826865,3,29.0,0.10550060676531836,3,29.0
285.0,8,62.0,0.6595744680851063,12.532935269656674,3,25.0,0.13454956334907084,3,25.0
290.0,6,45.0,0.5,12.504299036254661,3,19.0,0.16663179320889226,3,19.0
295.0,11,84.0,0.9032258064516129,12.823623868199636,4,26.0,0.134052422050546,4,26.0
300.0,6,51.0,0.5483870967741935,12.60885479582018,4,46.0,0.0,4,46.0
305.0,7,84.0,0.875,12.732251124999308,4,66.0,0.0,4,66.0
310.0,7,108.0,1.125,13.262116039786184,4,86.0,0.0,4,86.0
315.0,5,102.0,1.0625,13.161375530403395,4,106.0,0.14597391636357782,4,106.0
320.0,6,124.0,1.3333333333333333,13.2428661258289,5,128.0,0.009532025684708158,5,128.0
325.0,2,6.0,0.061855670103092786,13.323574169508438,1,39.0,0.08498410280783764,1,39.0
330.0,0,0.0,0.0,14.383394434741271,0,6.0,0.4772375682605121,0,6.0
335.0,2,4.0,0.04081632653061224,13.814101205805864,1,4.0,0.1207962684666038,1,4.0
340.0,5,22.0,0.21782178217821782,13.8877368130743,3,16.0,0.178399265074599,3,16.0
345.0,5,47.0,0.4563106796116505,13.590596457251959,3,31.0,0.2509341078997878,3,31.0
350.0,8,81.0,0.801980198019802,12.78586601997892,3,46.0,0.18949465414842512,3,46.0
355.0,6,34.0,0.34,12.354738046219977,0,15.0,0.34074078591227314,0,15.0
360.0,2,6.0,0.0625,11.831058819115457,2,29.0,0.16747074448951502,2,29.0
365.0,3,4.0,0.041237113402061855,13.022641250459568,2,36.0,0.14522125394301574,2,36.0
370.0,2,2.0,0.02,12.418081566333056,1,25.0,0.10200999905965821,1,25.0
375.0,2,11.0,0.1111111111111111,13.83260246106378,2,16.0,0.1147279063583953,2,16.0
380.0,5,27.0,0.27,13.836016528395648,2,29.0,0.17245207212649752,2,29.0
385.0,5,49.0,0.5,14.554127680195581,2,31.0,0.0,2,31.0
390.0,5,74.0,0.74,14.17005022284307,2,62.0,0.2588328187844004,2,62.0
395.0,4,69.0,0.69,14.43081453863896,2,69.0,0.4652447837769859,2,69.0
400.0,4,84.0,0.8571428571428571,13.968208738985838,2,61.0,0.00236604023705261,2,61.0
405.0,4,104.0,1.0833333333333333,15.027083639967437,3,76.0,2.135562549444973e-06,3,76.0
410.0,4,91.0,0.9578947368421052,14.597812146404356,3,91.0,0.0,3,91.0
415.0,3,106.0,1.1157894736842104,14.683561165859222,3,106.0,0.1744081317691351,3,106.0
420.0,2,2.0,0.021505376344086023,13.11333081151764,1,22.0,0.173035220992192,1,22.0
425.0,2,11.0,0.11458333333333333,13.438550658087875,2,13.0,0.10970555991539932,2,13.0
430.0,4,5.0,0.05263157894736842,13.830436249297119,2,12.0,0.13302468236552067,2,12.0
435.0,5,26.0,0.2736842105263158,12.64598575546627,3,17.0,0.19724335962473366,3,17.0
440.0,3,20.0,0.20833333333333334,12.422948718723353,1,18.0,0.06772331457684817,1,18.0
445.0,6,36.0,0.375,12.456855222721908,1,6.0,0.0,1,6.0
450.0,1,22.0,0.22448979591836735,13.14425216254555,0,0.0,0.34886826528730536,0,0.0
455.0,3,30.0,0.3157894736842105,13.44310047377575,1,5.0,0.4797877086488696,1,5.0
460.0,3,39.0,0.41935483870967744,13.470117556425864,1,7.0,0.11693982856170272,1,7.0
465.0,3,53.0,0.5888888888888889,13.890248035638287,2,17.0,0.12824847488985835,2,17.0
470.0,2,42.0,0.4666666666666667,13.190225876197134,0,5.0,0.11013237311481931,0,5.0
475.0,2,2.0,0.022222222222222223,13.371143593260179,0,0.0,1.0,0,0.0
480.0,0,0.0,0.0,14.696075340770284,0,0.0,0.5427937553371487,0,0.0
485.0,1,3.0,0.034482758620689655,15.23618879526356,1,3.0,0.20082818462560245,1,3.0
490.0,1,8.0,0.0898876404494382,14.889554733868856,1,8.0,0.01155838410273182,1,8.0
495.0,2,18.0,0.20224719101123595,14.05422411783175,2,18.0,0.3715602922902765,2,18.0
500.0,1,0.0,0.0,14.029869101638836,0,0.0,0.10315766162489888,0,0.0
505.0,1,0.0,0.0,14.399287848232632,0,5.0,0.42495318570680163,0,5.0
510.0,1,4.0,0.045454545454545456,14.788357583151166,0,0.0,0.17587842517681546,0,0.0
515.0,2,3.0,0.033707865168539325,14.52668014643916,1,3.0,0.3089456819893032,1,3.0
520.0,1,8.0,0.0898876404494382,14.29253834277028,1,8.0,0.28152122382177713,1,8.0
525.0,2,13.0,0.14606741573033707,14.924142256831868,1,13.0,0.0,1,13.0
530.0,1,18.0,0.20454545454545456,14.047186860630234,1,18.0,0.30459937580713997,1,18.0
535.0,3,24.0,0.2696629213483146,13.43536422450854,2,24.0,0.00014776016253757653,2,24.0
540.0,3,34.0,0.37362637362637363,12.371678477591713,2,36.0,0.16527372074395374,2,36.0
545.0,1,2.0,0.02197802197802198,12.71202776957184,0,16.0,0.24827182327144415,0,16.0
550.0,4,9.0,0.10227272727272728,12.957346843864064,1,18.0,0.3696422600212119,1,18.0
555.0,2,9.0,0.10465116279069768,13.467141300095228,0,0.0,0.2639046398817635,0,0.0
560.0,2,3.0,0.03409090909090909,13.006670790249757,1,3.0,5.121989223814342e-05,1,3.0
565.0,3,12.0,0.1348314606741573,13.29719959636766,1,10.0,0.12317952514143925,1,10.0
570.0,1,13.0,0.14606741573033707,13.102114126322814,1,13.0,0.10504188369797118,1,13.0
575.0,3,24.0,0.26666666666666666,13.081548763127621,2,21.0,0.006161754833286949,2,21.0
580.0,1,8.0,0.09090909090909091,12.640009227955458,0,2.0,0.15199161421239726,0,2.0
585.0,1,13.0,0.14606741573033707,12.842922806879495,0,0.0,0.5022432671769625,0,0.0
590.0,1,0.0,0.0,13.750685608758097,0,0.0,0.31683945000552066,0,0.0
595.0,2,6.0,0.06593406593406594,13.999058754722208,2,6.0,0.13537496383863926,2,6.0
600.0,0,0.0,0.0,14.435192395148821,0,7.0,0.17791827274744332,0,7.0
605.0,1,4.0,0.044444444444444446,14.908113536285667,1,4.0,0.11310178831258882,1,4.0
610.0,1,1.0,0.01098901098901099,15.838256608522158,0,2.0,0.19487819647171065,0,2.0
615.0,1,0.0,0.0,16.120339736226867,0,0.0,1.0,0,0.0
620.0,0,0.0,0.0,16.98946449084086,0,0.0,0.4990204833249367,0,0.0
625.0,1,5.0,0.056179775280898875,15.228958465403384,1,5.0,0.21136718461247872,1,5.0
630.0,3,17.0,0.18478260869565216,14.817704409768162,2,30.0,0.33414139619156363,2,30.0
635.0,3,11.0,0.12222222222222222,14.085717144308127,1,21.0,0.23073592342694296,1,21.0
