step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1627635979_stopped,1627635979_accumulated_waiting_time,1627635979_average_speed,GS_6410351174_stopped,GS_6410351174_accumulated_waiting_time,GS_6410351174_average_speed,GS_cluster_1193913723_1516363358_stopped,GS_cluster_1193913723_1516363358_accumulated_waiting_time,GS_cluster_1193913723_1516363358_average_speed,GS_cluster_1514516813_1637057199_1637057202_1637057203_stopped,GS_cluster_1514516813_1637057199_1637057202_1637057203_accumulated_waiting_time,GS_cluster_1514516813_1637057199_1637057202_1637057203_average_speed,GS_cluster_1637057155_1637057158_1637057169_653486066_stopped,GS_cluster_1637057155_1637057158_1637057169_653486066_accumulated_waiting_time,GS_cluster_1637057155_1637057158_1637057169_653486066_average_speed,GS_cluster_1646271653_21111520_6412799394_6641317282_stopped,GS_cluster_1646271653_21111520_6412799394_6641317282_accumulated_waiting_time,GS_cluster_1646271653_21111520_6412799394_6641317282_average_speed,GS_cluster_1646282857_1646282859_6463215687_6463215688_stopped,GS_cluster_1646282857_1646282859_6463215687_6463215688_accumulated_waiting_time,GS_cluster_1646282857_1646282859_6463215687_6463215688_average_speed,GS_cluster_1646282864_1646282868_6408185435_6408185436_stopped,GS_cluster_1646282864_1646282868_6408185435_6408185436_accumulated_waiting_time,GS_cluster_1646282864_1646282868_6408185435_6408185436_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.400705102920275,0,0.0,1.0,0,0.0,1.0,0,0.0,0.2576708833121449,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,16.403325129724102,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5789121823060344,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,2,0.0,0.0,14.339140750718569,0,0.0,1.0,0,0.0,1.0,0,0.0,0.18838319356923092,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,3,4.0,0.1111111111111111,16.887918983801754,0,0.0,1.0,0,0.0,1.0,1,4.0,0.34333312179172126,0,0.0,1.0,1,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,4.0
25.0,1,9.0,0.20454545454545456,16.343692425897956,0,0.0,1.0,0,0.0,1.0,1,9.0,0.04219634613593611,0,0.0,0.627902931311866,0,0.0,0.5021579888467893,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,9.0
30.0,1,1.0,0.0196078431372549,17.774539253243752,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.0007123549818170823,0,0.0,0.2831978081645979,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0
35.0,2,11.0,0.1864406779661017,18.516375692648545,0,0.0,1.0,0,0.0,0.04474886305474603,0,0.0,1.0,1,6.0,0.0,1,5.0,0.31703968508549124,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,11.0
40.0,2,21.0,0.328125,18.60685018451377,0,0.0,1.0,0,0.0,0.3661980872552249,0,0.0,1.0,1,11.0,0.0,1,10.0,0.008959978945211252,0,0.0,0.99274528179931,0,0.0,1.0,0,0.0,1.0,2,21.0
45.0,5,36.0,0.4864864864864865,18.85164096343883,0,0.0,1.0,0,0.0,0.6617251816814534,0,0.0,1.0,1,16.0,0.06317306531234004,2,20.0,0.32918762091097703,0,0.0,0.9835653209184064,1,0.0,0.0,0,0.0,1.0,4,36.0
50.0,4,51.0,0.6296296296296297,18.97534550788077,0,0.0,1.0,0,0.0,0.07649001948362123,0,0.0,1.0,1,21.0,0.012910027129877662,2,30.0,0.08745659913632421,0,0.0,0.9963884538974863,0,0.0,0.04118772016258622,0,0.0,1.0,3,51.0
55.0,10,81.0,0.9204545454545454,18.451649537433514,0,0.0,1.0,1,3.0,4.8305418620472324e-06,1,0.0,0.0,2,30.0,6.7207186834014386e-06,4,44.0,0.04386662073937088,0,0.0,0.32906044819754615,1,4.0,0.0,0,0.0,1.0,9,81.0
60.0,10,106.0,1.092783505154639,17.230670356293878,0,0.0,1.0,0,0.0,1.0,0,0.0,0.33858561669683,2,40.0,0.0,5,66.0,0.08677999757676673,0,0.0,1.0,0,0.0,0.34161644293758103,0,0.0,1.0,7,106.0
